Time [s],Channel 0,Channel 1
1.042237800,1,1
1.042299000,0,1
1.042301350,1,1
1.042362550,0,1
1.042364900,1,1
1.042426100,0,1
1.042428100,1,1
1.042489650,0,1
1.042491650,1,1
1.042553200,0,1
1.042555200,1,1
1.042616750,0,1
1.042619150,1,1
1.042648550,1,0
1.042680300,0,0
1.042682650,1,0
1.042743900,0,0
1.042746250,1,0
1.042807450,0,0
1.042809450,1,0
1.042839200,1,1
1.042871000,0,1
1.042873000,1,1
1.042934550,0,1
1.042936550,1,1
1.042998100,0,1
1.043000450,1,1
1.043061650,0,1
1.043064000,1,1
1.043125200,0,1
1.043127550,1,1
1.043188750,0,1
1.043191150,1,1
1.043252300,0,1
1.043254700,1,1
1.043315900,0,1
1.043318250,1,1
1.043379450,0,1
1.043381800,1,1
1.043443000,0,1
1.043445350,1,1
1.043506550,0,1
1.043508900,1,1
1.043570100,0,1
1.043572450,1,1
1.043633650,0,1
1.043636000,1,1
1.043697200,0,1
1.043699550,1,1
1.043760750,0,1
1.043763150,1,1
1.043824300,0,1
1.043826700,1,1
1.043887900,0,1
1.043890250,1,1
1.043951450,0,1
1.043953800,1,1
1.044015000,0,1
1.044017350,1,1
1.044078550,0,1
1.044080900,1,1
1.044142100,0,1
1.044144450,1,1
1.044205650,0,1
1.044208000,1,1
1.044269200,0,1
1.044271550,1,1
1.044332750,0,1
1.044335100,1,1
1.044396300,0,1
1.044398700,1,1
1.044459850,0,1
1.044462250,1,1
1.044523450,0,1
1.044525800,1,1
1.044586950,0,1
1.044589300,1,1
1.044650550,0,1
1.044652900,1,1
1.044714100,0,1
1.044716450,1,1
1.044777650,0,1
1.044780000,1,1
1.044841200,0,1
1.044843550,1,1
1.044904750,0,1
1.044907100,1,1
1.044968300,0,1
1.044970700,1,1
1.045031850,0,1
1.045034250,1,1
1.045095450,0,1
1.045097800,1,1
1.045159000,0,1
1.045161350,1,1
1.045222550,0,1
1.045224900,1,1
1.045286100,0,1
1.045288450,1,1
1.045349650,0,1
1.045352000,1,1
1.045413200,0,1
1.045415550,1,1
1.045476750,0,1
1.045479150,1,1
1.045540300,0,1
1.045542700,1,1
1.045603850,0,1
1.045606250,1,1
1.045667450,0,1
1.045669800,1,1
1.045731000,0,1
1.045733350,1,1
1.045794550,0,1
1.045796900,1,1
1.045858100,0,1
1.045860450,1,1
1.045921650,0,1
1.045924000,1,1
1.045985200,0,1
1.045987550,1,1
1.046048750,0,1
1.046051100,1,1
1.046112300,0,1
1.046114700,1,1
1.046175850,0,1
1.046178250,1,1
1.046239450,0,1
1.046241800,1,1
1.046303000,0,1
1.046305350,1,1
1.046366550,0,1
1.046368900,1,1
1.046430100,0,1
1.046432450,1,1
1.046493650,0,1
1.046496000,1,1
1.046557200,0,1
1.046559550,1,1
1.046620750,0,1
1.046623100,1,1
1.046684300,0,1
1.046686650,1,1
1.046747850,0,1
1.046750250,1,1
1.046811450,0,1
1.046813800,1,1
1.046875000,0,1
1.046877350,1,1
1.046938550,0,1
1.046940900,1,1
1.047002100,0,1
1.047004450,1,1
1.047065650,0,1
1.047068000,1,1
1.047129200,0,1
1.047131550,1,1
1.047192750,0,1
1.047195100,1,1
1.047256300,0,1
1.047258700,1,1
1.047319850,0,1
1.047322250,1,1
1.047383400,0,1
1.047385800,1,1
1.047447000,0,1
1.047449350,1,1
1.047510550,0,1
1.047512900,1,1
1.047574100,0,1
1.047576450,1,1
1.047637650,0,1
1.047640000,1,1
1.047701200,0,1
1.047703550,1,1
1.047764750,0,1
1.047767100,1,1
1.047828300,0,1
1.047830650,1,1
1.047891850,0,1
1.047894250,1,1
1.047955450,0,1
1.047957800,1,1
1.048019000,0,1
1.048021350,1,1
1.048082550,0,1
1.048084900,1,1
1.048146100,0,1
1.048148450,1,1
1.048209650,0,1
1.048212000,1,1
1.048273200,0,1
1.048275550,1,1
1.048336750,0,1
1.048339100,1,1
1.048400300,0,1
1.048402650,1,1
1.048463850,0,1
1.048466250,1,1
1.048527400,0,1
1.048529800,1,1
1.048591000,0,1
1.048593350,1,1
1.048654550,0,1
1.048656900,1,1
1.048718100,0,1
1.048720450,1,1
1.048781650,0,1
1.048784000,1,1
1.048845200,0,1
1.048847550,1,1
1.048908750,0,1
1.048911100,1,1
1.048972300,0,1
1.048974650,1,1
1.049035850,0,1
1.049038200,1,1
1.049099400,0,1
1.049101800,1,1
1.049163000,0,1
1.049165300,1,1
1.049226550,0,1
1.049228900,1,1
1.049290100,0,1
1.049292450,1,1
1.049353650,0,1
1.049356000,1,1
1.049417200,0,1
1.049419550,1,1
1.049480750,0,1
1.049483100,1,1
1.049544300,0,1
1.049546650,1,1
1.049607850,0,1
1.049610200,1,1
1.049671400,0,1
1.049673800,1,1
1.049734950,0,1
1.049737350,1,1
1.049798550,0,1
1.049800900,1,1
1.049862100,0,1
1.049864450,1,1
1.049925650,0,1
1.049928000,1,1
1.049989200,0,1
1.049991550,1,1
1.050052750,0,1
1.050055100,1,1
1.050116300,0,1
1.050118650,1,1
1.050179850,0,1
1.050182250,1,1
1.050243400,0,1
1.050245800,1,1
1.050307000,0,1
1.050309350,1,1
